English,Tigrigna,POS_CATEGORIES
year,ዓመት,(n) noun
yearly,ዓመታዊ,(a) adjective
yellow,ቢጫ,(a) adjective
yes,እወ,(a) adjective
yesterday,ትማሊ,(adv) adverb
yet,ጌና,(adv) adverb
yogurt,ሩግኦ,(n) noun
young,መንእሰይ,(a) adjective
youth,ንእስነት,(n) noun
zeal,ተመስጦ,(n) noun
zinc,ዚንጎ,(n) noun
ሀንዛ,thin/thick home made cornbread,(n) noun
ሂወታዊ,"alive, living",(a) adjective
ሂወት,life,(n) noun
ሃለወ,"exist, live",(v) verb
ሃለዋት ኣጥፈአ,disappear,(v) verb
ሃለው በለ,search,(v) verb
ሃልሃልታ,"flame, fire",(n) noun
ሃመማ,fly,(n) noun
ሃረመ,"knock, beat",(v) verb
ሃሪ,shit,(n) noun
ሃሳስ,"dark, dim, faded",(a) adjective
ሃሳይ,"crafty, cunning,malicious",(a) adjective
ሃቀነ,aim,(v) verb
ሃበ,"give, supply, provide,offer, reward",(v) verb
ሃብተመ,become rich,(v) verb
ሃብቲ,"resources, wealth",(n) noun
ሃብታም,"rich, wealhy",(a) adjective
ሃታፍ,"talkative, gossiping",(a) adjective
ሃነጸ,"construct, build",(v) verb
ሃናን,"passive, inert",(a) adjective
ሃናጺ,"instructive, educational",(a) adjective
ሃንቀውታ,anxiety,(n) noun
ሃንደበታዊ,"surprising, amazing",(a) adjective
ሃንደበት,"surprise, sudden",(n) noun
ሃንዳፍ,imprudent,(a) adjective
ሃካይ,"lazy, sluggish",(a) adjective
ሃወኸ,"bother, disturb",(v) verb
ሃዋህው,atmosphere,(n) noun
ሃይማኖተኛ,pious,(a) adjective
ሃይማኖታዊ,religious,(a) adjective
ሃይማኖት,religion,(n) noun
ሃደመ,"flee, avoid, shun",(v) verb
ሃደነ,"hunt, dispel, chase",(v) verb
ሃደደ,threaten,(v) verb
ሃዳናይ,hunter,(n) noun
ሃድአ,"calm, pacify, soothe",(v) verb
ሃገረሰብ,"countryside, village,rural area",(n) noun
ሃገራዊ,"national, countrymen",(a) adjective
ሃገር,country,(n) noun
ሃጸይ,emperor,(n) noun
ሃፋ,steam,(n) noun
ህሉው,"current, present",(a) adjective
ህላዌ,"existence, presence",(n) noun
ህራይ በላ,accept,(v) verb
ህበይ,monkey,(n) noun
ህቦብላ,"gust, burst",(n) noun
ህንጡይ,curious,(a) adjective
ህንጥይና,curiosity,(n) noun
ህንጻ,"building, construction",(n) noun
ህኩይ,lazy,(a) adjective
ህዉኽ,imprudent,(a) adjective
ህዝቢ,people,(n) noun
ህዝባዊ,public,(a) adjective
ህያብ,gift,(n) noun
ህይወት ሃበ,"animate, liven",(v) verb
ህዱእ,"calm, quiet",(a) adjective
ህድማ,escape,(v) verb
ህድኣት,"calm, silence",(n) noun
ህጁም,attack,(n) noun
ህጹጽ,urgent,(a) adjective
ሆስፒታል,hospital,(n) noun
ሆቴል,hotel,(n) noun
ለሓሰ,lick,(v) verb
ለመመ,crawl,(v) verb
ለመነ,beg,(v) verb
ለመደ,get used to,(v) verb
ለመጸ,varnish,(v) verb
ለሚን,"lemon, lime",(n) noun
ለማሚ,reptile,(n) noun
ለማኒ,beggar,(n) noun
ለማጻይ,painter,(n) noun
ለምዒ,greenery,(n) noun
ለቐቐ,"release, free",(v) verb
ለበሰ,"wear, dress",(v) verb
ለባም,wise,(a) adjective
ለኣኸ,send someone to do something,(v) verb
ለካቲት,February,(n) noun
ለወሰ,knead,(v) verb
ለወየ,"bend down, stoop",(v) verb
ለወጠ,"change, switch",(v) verb
ለዋህ,kind,(a) adjective
ለዋወጠ,exchange,(v) verb
ለውሃት,kindness,(n) noun
ለውጢ,change,(n) noun
ለዓለ,raise,(v) verb
ለዘበ,soften,(v) verb
ለይቲ,night,(n) noun
ለይታዊ,night-time,(a) adjective
ለገሰ,grant,(v) verb
ለገበ,patch,(v) verb
ለጋስ,generous,(a) adjective
ለጠፈ,"stick, glue",(v) verb
ሉል,pearl,(n) noun
ሊላ,violet,(a) adjective
ሊቕ,skilful person,(n) noun
ሊተር,litre,(n) noun
ላህመት,cream,(n) noun
ላም,cow,(n) noun
ላዕላይ,higher,(a) adjective
ላዕላይ-ደረጃ,"college, university",(n) noun
ላግጺ,joke,(n) noun
ላጸየ,shave,(v) verb
ሌላ,acquaintance,(n) noun
ልሙዳዊ,ordinarily,(adv) adverb
ልሙድ,"common, normal,ordinary",(a) adjective
ልሙጽ,smooth,(a) adjective
ልምሉም,soft,(a) adjective
ልምምድ,practice,(n) noun
ልምዲ,"tradition, custom",(n) noun
ልምዳዊ,traditional,(a) adjective
ልቓሕ,loan,(n) noun
ልቡጥ,"warm, tepid",(a) adjective
ልቢ,heart,(n) noun
ልባስ,worn,(a) adjective
ልባዊ,cordial,(a) adjective
ልብ ወለድ,novel,(n) noun
ልቦና,wisdom,(n) noun
ልኡኽ,"mission, task",(n) noun
ልክዓዊ,accurate,(a) adjective
ልክዕ,"exact, accuracy",(a) adjective
ልክዕነት,"perfection, accuracy",(n) noun
ልውህና,generosity,(n) noun
ልውውጥ,exchange,(n) noun
ልዑል,noble,(a) adjective
ልዙብ,polite,(a) adjective
ልደት,"birth, birthday,",(a) adjective
ሎሚ,today,(a) adjective
ሐምሊ ኣድሪ,green mustard,(n) noun
ሐብአ,hide,(v) verb
ሐንጎል,brain,(n) noun
ሐገዝ,advocate,(n) noun
ሐጋዚት,advocator,(nf) noun feminine
ሑአታ,cough,(n) noun
ሑጡብ,brick,(n) noun
ሑጻ,sand,(n) noun
ሓለመ,dream,(v) verb
ሓለቓ,chief,(n) noun
ሓለፈ,"pass, get around, cross",(v) verb
ሓሊፈ,passed,(a) adjective
ሓላዊ,guard,(n) noun
ሓላዊት,female guard,(n) noun
ሓላው ርሻን,"superintendent,caretaker",(n) noun
ሓላፊ,director,(n) noun
ሓላፊት,female director,(n) noun
ሓላፍነት,responsibility,(n) noun
ሓሙስ,Thursday,(n) noun
ሓሙሻይ ክፍሊ,fifth grade,(n) noun
ሓሙሽተ,five,(a) adjective
ሓሙኹሽቲ,ashes,(n) noun
ሓምለ,July,(n) noun
ሓምሊ,"spinach, green collards",(n) noun
ሓምሳ,fifty,(a) adjective
ሓምሸሸ,crush,(v) verb
ሓምበሰ,swim,(v) verb
ሓረሰ,plough,(v) verb
ሓረሰት,give birth,(v) verb
ሓረስታይ,farmer,(n) noun
ሓረየ,"pick, choose",(v) verb
ሓረደ,"cut, slaughter",(v) verb
ሓሪጭ,flour,(n) noun
ሓራሲት መኪና,tractor,(n) noun
ሓራቕ,angry,(a) adjective
ሓራቖ,furious,(a) adjective
ሓርሓረ,saw off,(v) verb
ሓርማዝ,elephant,(n) noun
ሓርነት,"liberty, freedom",(n) noun
ሓርፋፍ,rough,(a) adjective
ሓሰማ,pig,(n) noun
ሓሰር,"hay, straw",(n) noun
ሓሰበ,"think, consider",(v) verb
ሓሰኻ,"worm, insect",(n) noun
ሓሰወ,lie,(v) verb
ሓሳብ,"idea, thought",(n) noun
ሓሳብ ገለጸ,express,(v) verb
ሓሳዊ,liar,(a) adjective
ሓሶት,lie,(n) noun
ሓሸሸ,spend,(v) verb
ሓቀኛ,honest,(a) adjective
ሓቂ,"true, (n) truth, accuracy",(a) adjective
ሓቐቐ,"melt, dissolve",(v) verb
ሓቒቕ,crystal,(n) noun
ሓቓዊ,accurate,(a) adjective
ሓቖነ,shake,(v) verb
ሓበረ,"suggest, direct",(v) verb
ሓበሬታ,"information, signal",(n) noun
ሓበን,pride,(n) noun
ሓባሪ,guide,(n) noun
ሓብቲ,sister,(n) noun
ሓብአ,"hide, conceal",(v) verb
ሓቦ,"bravery, courage",(n) noun
ሓተመ,print,(v) verb
ሓተተ,"demand, apply, ask",(v) verb
ሓትነ,aunt (mother's side),(n) noun
ሓትኖ,aunt (mother's side),(n) noun
ሓንጎል,brain,(n) noun
ሓንፈጠ,scratch,(v) verb
ሓከመ,"treat, look after",(v) verb
ሓኪም,doctor,(n) noun
ሓኸኸ,scrape,(v) verb
ሓኾረ,climb,(v) verb
ሓወ,brother,(n) noun
ሓወልቲ,"monument, statue",(n) noun
ሓወሰ,mix,(v) verb
ሓወየ,cure,(v) verb
ሓዊ,fire,(n) noun
ሓዋወሰ,mix,(v) verb
ሓዘ,"hold, handle, keep,occupy",(v) verb
ሓዘን,mourning,(n) noun
ሓያል,"strong, powerful",(a) adjective
ሓያሎ,several,(a) adjective
ሓይሊ,"energy, power, force",(n) noun
ሓደ,one,(a) adjective
ሓደ ግዜ,one time,(adv) adverb
ሓደገ,let,(v) verb
ሓደገኛ,dangerous,(a) adjective
ሓደጋ,"danger, accident",(n) noun
ሓደጋዊ,accidental,(a) adjective
ሓዲሽ,"new, fresh",(a) adjective
ሓዲሽ ምጅማር,awakening,(n) noun
ሓዲሽ ዓመት,new year,(n) noun
ሓድነት,unity,(n) noun
ሓገዘ,"assist, help",(v) verb
ሓገዝ,"assistance, help",(n) noun
ሓገዝቲ,advocator,(npl) noun plural
ሓጋዚ,advocator,(nm) noun masculine
ሓጋይ,summer,(n) noun
ሓግሓገ,"rake, search",(v) verb
ሓጎስ,"satisfaction,contentment",(n) noun
ሓጥአ,sin,(v) verb
ሓጥያት,sin,(n) noun
ሓጨጨ,"tease, mock",(v) verb
ሓጫጪ,mocking,(a) adjective
ሓጸበ,wash,(v) verb
ሓጺር,short,(a) adjective
ሓጺር ጽሑፍ,note,(v) verb
ሓጺን,iron,(n) noun
ሓፈሰ,harvest,(v) verb
ሓፈሻዊ,general,(a) adjective
ሓፋር,"timid, shy",(a) adjective
ሕሉፍ,past,(n) noun
ሕልሚ,dream,(n) noun
ሕልና,conscience,(n) noun
ሕሙም,"sick, ill",(n) noun
ሕሙኽሽታይ,grey,(a) adjective
ሕማም,"disease, illness",(n) noun
ሕማም ምትሕልላፍ,contagion,(n) noun
ሕማቕ,bad,(a) adjective
ሕማቕ ዕድል,"misfortune, bad luck",(n) noun
ሕምብርቲ,"navel, center",(n) noun
ሕርሻ,agriculture,(n) noun
ሕርሻዊ,agricultural,(a) adjective
ሕርቃን,ferocity,(n) noun
ሕርቓን,anger,(n) noun
ሕሱም,"cruel, mean",(a) adjective
ሕሳብ,account,(n) noun
ሕሹኽሹኽ,"whisper, murmur",(n) noun
ሕሹኽሹኽ በለ,whisper,(v) verb
ሕቆ,back,(n) noun
ሕቡራት,united,(n) noun
ሕቡስ,prisoner,(n) noun
ሕብረት,union,(n) noun
ሕብረት ሰብ,society,(n) noun
ሕብሪ,colour,(n) noun
ሕብሪ ለኸየ,colour,(v) verb
ሕብሪ ዘይብሉ,colourless,(a) adjective
ሕብራዊ,colourful,(a) adjective
ሕቶ,"appeal, question",(n) noun
ሕነ,"revenge, vengeance",(n) noun
ሕነ ፈደየ,to avenge,(v) verb
ሕንባሻ,thick round leavened,(n) noun
ሕንጉጉ,locust,(n) noun
ሕንግድ,stubborn,(a) adjective
ሕንጢል ሕንጥሊቶ,small,(n) noun
ሕንጻይ,parrot,(n) noun
ሕክምና,"treatment, medicine",(n) noun
ሕውስዋስ,mixed,(a) adjective
ሕውነታዊ,brotherly,(a) adjective
ሕያዋይ,"benevolent, kindly,",(a) adjective
ሕያውነት,"benevolence,",(n) noun
ሕዳር,November,(n) noun
ሕድሪ ሃበ,"entrust, confide",(v) verb
ሕጂ,now,(adv) adverb
ሕጉስ,happy,(a) adjective
ሕጊ,law,(v) verb
ሕጋዊ,legitimate,(a) adjective
ሕጸ,"engagement, betrothal",(v) verb
ሕጹይ,fiancé,(v) verb
ሕጺቲ,fiancée,(v) verb
ሕጻን,"child, infant, baby",(n) noun
ሕጻንነት,"infancy, childhood",(v) verb
ሕፍረት,"shame, disgrace",(v) verb
መሃምራን,"choir, chorus",(n) noun
መሃረ,"educate, teach",(v) verb
መሃንድስ,engineer,(n) noun
መሃዘ,"create, invent",(v) verb
መሃያ,"wage, pay, salary",(n) noun
መለሰ,"return, restore, give",(v) verb
መለሸ,answer,(v) verb
መለቐ,escape,(v) verb
መለንዛና,egg-plant,(n) noun
መለአ,fill up,(v) verb
መላገቢ,link,(v) verb
መልሓስ,tongue,(n) noun
መልሲ,"answer, reply",(n) noun
መልአ,fill up,(v) verb
መልኣኽ,angel,(n) noun
መልእኽተኛ,messenger,(n) noun
መልእኽቲ,announcement,(n) noun
መልጎም,button,(n) noun
መሓለ,"swear, vow",(v) verb
መሓረ,"excuse, forgive",(v) verb
መሓሰበት,calculator,(n) noun
መሓውር,"body, limb",(n) noun
መሓውር እንስሳ,"foot, leg",(n) noun
መሓዛ,"buddy, pal, friend",(n) noun
መሕለፊ,"road, path, route",(n) noun
መሕብኢ,hiding place,(n) noun
መሕጸቢ ቤት,lavatory,(n) noun
መሕጸብ ስኒ,tooth-paste,(n) noun
መመሸጥ,comb,(n) noun
መመየ,sort,(v) verb
መመገቢ ክፍሊ,dining room,(n) noun
መማህርተይ,classmate,(n) noun
መምህር,teacher,(n) noun
መሞቒ,heater,(n) noun
መረቐ,bless,(v) verb
መረቕ,soup,(n) noun
መረብረቢ,watering can,(n) noun
መረጋገጺ,"proof, evidence",(n) noun
መረጸ,"choose, pick, select,",(v) verb
መሪር,bitter,(a) adjective
መራሒ,"guide, president,",(n) noun
መራሕ መኪና,driver,(n) noun
መራሕ ነፋሪት,pilot,(n) noun
መራብሒ ሓሰማ,pig farm,(n) noun
መራብሒ ደርሁ,henhouse,(n) noun
መራት,rusty,(a) adjective
መራኸቢ,junction,(n) noun
"መሬት, (ገጽ)",landscape,(n) noun
መርሐ,"lead, direct",(v) verb
መርመረ,"examine, scrutinize",(v) verb
መርበብ,website,(n) noun
መርትያ ኣቕረበ,prove,(v) verb
መርኣያ,sample,(n) noun
መርከብ,"boat, ship",(n) noun
መርዓ,"marriage, wedding",(n) noun
መርዓት ዓይኒ,centre of the,(n) noun
መርዚ,poison,(n) noun
መርዛም,poisonous,(a) adjective
መርፍእ,needle,(n) noun
መርፍእ ወረቐት,pin,(n) noun
መሰለ,seem,(v) verb
መሰል,"right, privilege",(n) noun
መሰል ድምጺ,right to vote,(n) noun
መሰልከዊ,boring,(a) adjective
መሰሎ,suppose,(v) verb
መሰማዕታ,alarm,(n) noun
መሰረተ,establish,(v) verb
መሰተ,drink,(v) verb
መሰናግለ,ribs,(n) noun
መሳልል,stool,(n) noun
መሳርሒ,equipment,(n) noun
መሳርሒ ኣቕሓ,instrument,(n) noun
መሳርያዊ ሙዚቃ,instrumental,(a) adjective
መሳኹት ኣፍንጫ,nostril,(n) noun
መስሓቒ,amusement,(n) noun
መስሓቕ,"amusing, funny",(a) adjective
መስመራት,"span, range",(n) noun
መስመር,"rule, ruler, line, row",(n) noun
መስማር,nail,(n) noun
መስረተ,form,(v) verb
መስርሕ ሂወት,career,(n) noun
መስርዕ,"column, pillar, rank",(n) noun
መስቀላዊ መንገዲ,"crossroads,",(n) noun
መስቀል,cross,(n) noun
መስቀል ስእሊ,place/something,(n) noun
መስተ,beverage,(n) noun
መስተውዓሊ,attentive,(a) adjective
መስተውዓሊት,attentive,(a) adjective
መስትያት,mirror,(n) noun
መስኖወ,irrigate,(v) verb
መስኣሊ ኣስባስላ,brush,(n) noun
መስከረ,"testify, give evidence",(v) verb
መስከረም,September,(n) noun
መስኮት,window,(n) noun
መስኮት ኣፍንጫ,nostril,(n) noun
መስዋእቲ,sacrifice,(n) noun
መስጊድ,mosque,(n) noun
መሸጣ,sale,(n) noun
መሽመሸ,"rot, spoil",(v) verb
መሽገጥ,lock,(n) noun
መቐለ,"divide up, share",(v) verb
መቐረት ዘይብሉ,tasteless,(a) adjective
መቐስ,scissors,(n) noun
መቐበል ጋሻ,"reception,",(n) noun
መቐንዘዊ,"painful, aching",(a) adjective
መቐዝ,scissors,(n) noun
መቐጸልታ,continuation,(n) noun
መቑለብ ዓሳ,fishhook,(n) noun
መቑሰልቲ,"injury, wound",(n) noun
መቓልሕ,echo,(n) noun
መቓልሕ ሃበ,"ring, echo",(v) verb
መቓብር,"cemetery, grave",(n) noun
መቕዘፍቲ,disaster,(n) noun
መቕድሒ ፈሳሲ,pot,(n) noun
መቕጻዕቲ,"fine, penalty,",(n) noun
መበቆላዊ,original,(an) adjective noun
መበቆል,origin,(n) noun
መበገሲ,"beginning, start",(n) noun
መባእታ ደረጃ,elementary,(n) noun
መባእታዊ,primary,(a) adjective
መብረድ,nail-file,(n) noun
መብዛሕቱኢ ግዝ,"often,",(adv) adverb
መብጽዓ,promise,(n) noun
መተሓላለፊ,passage,(n) noun
መተሓሳሰቢ,calculator,(n) noun
መተርኣስ,"pillow, cushion",(n) noun
መተኣማመኒ,"assurance, self-confidence",(n) noun
መተዓየዩ,tool,(n) noun
መታልሕ,temporalis muscle,(n) noun
መትልሕ,temple,(n) noun
መትረብ,channel,(n) noun
መትኒ,nerves,(n) noun
መትከል,principle,(n) noun
መትኮብ ዑፍ,beak,(n) noun
መነጸር,"spectacles, goggles",(n) noun
መናፈሻ ቦታ,park,(n) noun
መንበር,chair,(n) noun
መንእሰይ,young,(a) adjective
መንከሲ,sting,(n) noun
መንከስ,chin,(n) noun
መንኩብ,shoulder,(n) noun
መንኮርኮር,wheel,(n) noun
መንደል,chisel,(n) noun
መንደቒ ኡሕ,"board, plank",(n) noun
መንደቕ,wall,(n) noun
መንዲል,handkerchief,(n) noun
መንዳዓት,"hump, bump",(n) noun
መንገደኛ,"passing, passenger",(an) adjective noun
መንገዲ,"route, path, road",(n) noun
መንገዲ ኣጋር,"sidewalk,pavement",(n) noun
መንጋጋ,jaw,(n) noun
መንግስቲ,"government, state",(n) noun
መንጎኛ,"umpire, referee",(n) noun
መንጫዕጫዕታ,"fall, waterfall",(n) noun
መንፈርፈር,wing,(n) noun
መንፈስ,spirit,(n) noun
መንፈቕ,"half-year, six months",(n) noun
መኣስ,when,(adv) adverb
መእተዊ,introduction,(n) noun
መእተዊ ህንጻ,"street level,",(n) noun
መእተዊ ክፍሊ,entrance,(n) noun
መኪና,car,(n) noun
መኪና ጽዕነት,"lorry, truck",(n) noun
መካኒክ,mechanic,(n) noun
መኮነን,officer,(n) noun
መኸረ,advise,(v) verb
መኸኸ,"melt, dissolve",(v) verb
መኻን,"sterile, barren",(a) adjective
መኽሰብ,"gain, profit, benefit",(n) noun
መኽዘን አኽሊ,barn,(n) noun
መኽዘን ኽፍሊ,granary,(n) noun
መኽደኒ,coverage,(n) noun
መኽደኒ ናሕሲ,tile,(n) noun
መኽደኒ ድስቲ,"cover, lid",(n) noun
መኽደኒ ጣውላ,tablecloth,(n) noun
መኾስተር,"broom, brush",(n) noun
መወዳእታ,"end, conclusion",(n) noun
መወዳእትኢ,finally,(adv) adverb
መዋቲ,dying,(a) adjective
መውዓል ህጻናት,kindergarten,(n) noun
መውዓይ,heating,(n) noun
መውጽኢ,exit,(n) noun
መዓልቲ,"day, daytime",(n) noun
መዓልታዊ,"daily, everyday",(a) adjective
መዓስከር,camp,(n) noun
መዓሸግ ባብር,"bridge, deck",(n) noun
መዓት,disaster,(n) noun
መዓንጣ,intestine,(n) noun
መዕረፊ ክፍሊ,"lounge, living room",(n) noun
መዕረፍ መጓዓዝያ,stop,(n) noun
መዕረፍ ባብር,station,(n) noun
መዕረፍ ነፈርቲ,airport,(n) noun
መዕቀሊ,shelter,(n) noun
መዕቆቢ,refuge,(n) noun
መዘነ,"weigh, consider,",(v) verb
መዘዘ,assign,(v) verb
መዘጋጃ ቤተ,town hall,(n) noun
መዛናጋዒ,amusement,(n) noun
መዛወሪ,"stroll, walk",(n) noun
መዝገበ ቃላት,dictionary,(n) noun
መደምሰስ,eraser,(n) noun
መደምደምታ,conclusion,(n) noun
መደቀሲ ከፍሊ,bedroom,(n) noun
መደበ,decide,(v) verb
መደብ,"program, plan, project",(n) noun
መደንደል,"bar, rail",(n) noun
መደያይቦ,"staircase, stairs",(n) noun
መደግፊ,support,(n) noun
መዳልያ,medal,(n) noun
መዳወሲ ሕብሪ,palette,(n) noun
መድሃኒት,"remedy, cure, medication",(n) noun
መድሓኒ,"rescuer, saviour",(n) noun
መድረክ,"platform, stage",(n) noun
መድፍዕ,"gun, barrel",(n) noun
መጀለቢ,hook,(n) noun
መጀመርታ,"beginning, start",(n) noun
መገሻ,"journey, tour, trip",(n) noun
መገበ,serve,(v) verb
መጋረዲ,barrier,(n) noun
መጋረጀ,"curtain, shutter",(n) noun
መጋርያ,furnace,(n) noun
መጋቢት,march,(n) noun
መግለጺ,"announcement,",(n) noun
መግለጺ ሃበ,justify,(v) verb
መግለጺ ሓጎስ,congratulations,(n) noun
መግቢ,food,(n) noun
መግዛእታዊ,colonial,(a) adjective
መግፈፊ,rake,(n) noun
መጎስ,praise,(n) noun
መጓሰ,"herd, flock",(n) noun
መጓዓዝያ,mode of transport,(n) noun
መጠረሽታ,"close, conclusion",(n) noun
መጠርነፊ,"packing, package",(n) noun
መጠንቀቕታ,"warning, alarm",(n) noun
መጠንቐቕታ,"warning, alarm",(n) noun
መጠጠ,stretch,(v) verb
መጣቐዕቲ,applauder,(npl) noun plural
መጥመሪ,"band, tape",(n) noun
መጥቃዕቲ,attack,(n) noun
መጥበዊ,mammal,(n) noun
መጥባሕቲ,operation,(n) noun
መጸ,come,(v) verb
መጸየ,suck,(v) verb
መጺጽ,acidic,(a) adjective
መጻኢ,next,(a) adjective
መጻወቲ,"amusement, toy",(n) noun
መጻወድያ,trap,(n) noun
መጽሓፍ,book,(n) noun
መጽሓፍ ጸብጻብ,"brochure,",(n) noun
መጽሔት,illustrious,(n) noun
መጽናዕቲ,study,(n) noun
መጽናዕቲ ትምህርቲ,"lesson,",(n) noun
መፈተንታ,test,(n) noun
መፍለስ,wild boar,(n) noun
መፍትሒ,solution,(n) noun
መፍትሕ,key,(n) noun
ሙሕኹልቲ,legs/leg muscles,(n) noun
ሙቐት,temperature,(n) noun
ሙታንታ,underpants,(n) noun
ሙዕጉርቲ,cheek,(n) noun
ሙዚቀኛ,musician,(an) adjective noun
ሙዚቃ,music,(n) noun
ሙዚቃዊ,musical,(a) adjective
ሙዚቃዊ ምርኢት,concert,(n) noun
ሙዚቃዊ ጸወታ,performance,(n) noun
ሚሊ ሜተር,millimetre,(n) noun
ሚሰልቶ ተኽሊ,mistletoe,(n) noun
ሚኒስተር,minister,(n) noun
ሚእቲ,hundred,(an) adjective noun
ሚዛን,weight,(n) noun
ሚያዝያ,April,(n) noun
ማህደረ,vocabulary,(n) noun
ማለት,mean,(v) verb
ማልመላታ,jam,(n) noun
ማልያ,undergarment,(n) noun
ማሐወ,tear out,(v) verb
ማሕለፍያ,glorious,(a) adjective
ማሕላ,oath,(n) noun
ማሕረስ,ploughing,(n) noun
ማሕረሻ,"plough, plough",(n) noun
ማሕስእ,kid,(n) noun
ማሕበራዊ,social,(a) adjective
ማሕበር,"company, association",(n) noun
ማሕተም,"seal, impression",(n) noun
ማሕታ,spark,(n) noun
ማሕጎዳ,invent,(n) noun
ማሕጸን,uterus,(n) noun
ማረኸ,attract,(v) verb
ማርሞት,marmot,(n) noun
ማርተሎ,hammer,(n) noun
ማርኾት,attractiveness,(n) noun
ማስየ,"make fun of, tease",(v) verb
ማሺን ጋን,machine gun,(n) noun
ማንቲለ,rabbit,(n) noun
ማንቲለ በረኻ,hare,(n) noun
ማንካ,spoon,(n) noun
ማንካ ነዳቓይ,trowel,(n) noun
ማእረረ,browse,(v) verb
ማእሰርቲ,"arrest, custody",(n) noun
ማእከላይ,"middle, medium",(a) adjective
ማእከላይ ደረጃ,junior high,(n) noun
ማእከል,"middle, medium,",(n) noun
ማዓር,honey,(n) noun
ማዓር ኣከበ,gather honey,(v) verb
ማዓንጣ,small/large intestine,(n) noun
ማዕረ,"equal, level",(a) adjective
ማዕረ ማዕረ,"parallel,",(a) adjective
ማዕበላዊ,stormy,(a) adjective
ማዕበል,"wave, storm",(n) noun
ማዕከን,treasury,(n) noun
ማዕከን ወረ,press,(n) noun
ማዕድን,mineral,(an) adjective noun
ማዕጾ,door,(n) noun
ማያዊ,marshy,(a) adjective
ማይ,water,(n) noun
ማይ ጨባ,similar to Butter,(n) noun
ሜለ,apple,(n) noun
ሜስ,"honey wine, mead",(n) noun
ሜተር,meter,(n) noun
ሜዳ,ground,(n) noun
ምሁር,intellectual,(a) adjective
ምህላው,be alive,(v) verb
ምህራም,bang,(v) verb
ምህዞ,invention,(n) noun
ምሉእ,"complete, full",(a) adjective
ምላሽ ሃበ,reply,(v) verb
ምልላይ,acquaint,(v) verb
ምልኩዕ,good looking,(a) adjective
ምልክታ,notice,(n) noun
ምልክት,"mark, symbol, signal,",(n) noun
ምልዋጥ,"transformation,adjust",(n) noun
ምልዕዓል,rise,(n) noun
ምሓዝ,hold,(n) noun
ምሕላፍ,pass,(v) verb
ምሕምባሰ,"(v) swim,  swimming",(n) noun
ምሕረት,"grace, mercy, pardon",(n) noun
ምሕራቕ,anger,(v) verb
ምሕቃቐ,"melting, thaw",(n) noun
ምሕታት,appeal,(v) verb
ምሕኩልቲ,hip,(n) noun
ምሕዋይ,"cure, healing,",(n) noun
ምሕዝነት,alliance,(n) noun
ምሕዝና,alliance,(n) noun
ምሕጋዝ,advocate,(v) verb
ምሕጻብ ነብሲ,bath,(n) noun
ምምሕዳር,administration,(n) noun
ምምሕዳር ከተማ,municipal,(a) adjective
ምምራቕ,graduate,(v) verb
ምምስጋን,"applaud, appreciate",(v) verb
ምምቃል,division,(n) noun
ምምዕራይ,arrange,(v) verb
ምምዕርራይ ኣቑሑ,installation,(n) noun
ምራኽ,calf,(n) noun
ምርመራ,exam,(n) noun
ምርቓ,blessing,(n) noun
ምርባሕ,multiplication,(n) noun
ምርኢት,"display, exhibition",(n) noun
ምርኩስ,cane,(n) noun
ምርዋ,sap,(n) noun
ምርዕው,marry off,(v) verb
ምርግጋጽ,affirm,(v) verb
ምርጫ,"choice, selection, preference",(n) noun
ምሳሕ,lunch,(n) noun
ምስ,with,(prep) preposition
ምስሉይ,hypocrite,(a) adjective
ምስላ,proverb,(n) noun
ምስሓቕ,amuse,(v) verb
ምስማዕ,hearing,(n) noun
ምስምማዕ,agree,(v) verb
ምስራዕ,align,(v) verb
ምስትላም,surrender,(n) noun
ምስክር,witness,(n) noun
ምስክርነት,testimony,(n) noun
ምስጋና,"gratitude, testimony,thanks",(n) noun
ምስጢራዊ,mysterious,(a) adjective
ምስጢር,mystery,(n) noun
ምሸት,evening,(n) noun
ምቁር,"delicious, sweet",(a) adjective
ምቁያቕ,argue,(v) verb
ምቅርራብ,"get closer, be close to",(v) verb
ምቑጽጻር,adjust,(v) verb
ምቕሉል,obliging,(a) adjective
ምቕልቃል,appearance,(n) noun
ምቕስቃስ,"agitation, excitement",(n) noun
ምብራቅ,"east, easterly",(an) adjective noun
ምብጻቕ,visit,(n) noun
ምትራፍ,fail,(v) verb
ምትንፋስ,be alive,(v) verb
ምትውሳእ,act,(v) verb
ምቹእ,"comfortable, favourable",(a) adjective
ምቾት,comfort,(n) noun
ምናልባት,probably,(adv) adverb
ምናልባትነት,probability,(n) noun
ምናት,arm,(n) noun
ምንስሓብ,"retreat, refuge",(n) noun
ምንቅስቓስ,movement,(n) noun
ምንቅስቓስ ኣካላት,gymnastics,(n) noun
ምንቅጥቃጥ,shiver,(n) noun
ምንጪ,source,(n) noun
ምንጻፍ,carpet,(n) noun
ምንጽጻር,comparison,(n) noun
ምእካብ ግብሪ,collect,(v) verb
ምእዙዝ,obedient,(a) adjective
ምክልኻል,defence,(n) noun
ምክታዕ,argue,(v) verb
ምኹራይ,anger,(v) verb
ምኽሪ,"advice, counsel",(n) noun
ምኽኒት,excuse,(n) noun
ምኽንያት,"cause, reason",(n) noun
ምኽኣል,afford,(v) verb
ምኽፋል ዕዳ,acquittal,(n) noun
