English,Tigrigna,POS_CATEGORIES,POS,MorphFeatures
tart,ዶልሺ ፍረታት,(n) noun,noun,none
taste,ጠዓመ,(v) verb,verb,none
tasteless,መቐረት ዘይብሉ,(a) adjective,adjective,none
tax,ግብሪ,(n) noun,noun,none
taxation,ግብሪ,(n) noun,noun,none
tea,ሻሂ,(n) noun,noun,none
teach,መሃረ,(v) verb,verb,none
teacher,"መምህር, ፕሮፈሰር",(n) noun,noun,none
team,ጋንታ,(n) noun,noun,none
tear,ንብዓት,(n) noun,noun,none
tear up,ቀደደ,(v) verb,verb,none
tears,ንብዓት,(n) noun,noun,none
tease,ሓጨጨ,(v) verb,verb,none
teeth,ስኒ,(n) noun,noun,none
teff,ጣፍ,(n) noun,noun,none
telephone,ተለፎን,(n) noun,noun,none
television,ተለቭጅን,(n) noun,noun,none
tell,ነገረ,(v) verb,verb,none
temperature,ሙቐት,(n) noun,noun,none
temple,ቤተ መቕደስ,(n) noun,noun,none
temporalis muscle,መታልሕ,(n) noun,noun,none
temporary,ግዚያዊ,(a) adjective,adjective,none
temptation,(nv) ፈተነ,(uncategorized) Uncategorized,uncategorized,none
ten,ዓሰርተ,(an) adjective noun,adjective,noun-derived
tenant,ተኻራይ,(n) noun,noun,none
tendon,ጂማት,(n) noun,noun,none
tent,ተንዳ,(n) noun,noun,none
tenth,ዓስራይ,(a) adjective,adjective,none
tenth grade,ዓሽራይ ክፍሊ,(n) noun,noun,none
terrible,ዘሰንብድ,(a) adjective,adjective,none
terrify,ኣፍረሐ,(v) verb,verb,none
territory,ግዝኣት,(n) noun,noun,none
test,ፈተና,(v) verb,verb,none
testify,መስከረ,(v) verb,verb,none
testimony,ምስክርነት,(n) noun,noun,none
thank,ኣመስገነ,(v) verb,verb,none
thank you,የቐንየለይ,(n) noun,noun,none
thankless,ዘየመስግን,(a) adjective,adjective,none
that,"እቲ, እቲኣቶም",(prn) pronoun,pronoun,none
thatched cottage,ኣጉዶ,(n) noun,noun,none
thaw,ምሕቃቐ,(n) noun,noun,none
theatre,ቲያትር,(n) noun,noun,none
theft,ስርቂ,(n) noun,noun,none
theirs,(f prn) ናተን,(uncategorized) Uncategorized,uncategorized,none
theirs,(m prn) ናቶም,(uncategorized) Uncategorized,uncategorized,none
then,ቀጺሉ,(adv) adverb,adverb,none
theory,ክልስ ሓሳብ,(n) noun,noun,none
there,ኣብቲ,(adv) adverb,adverb,none
thermometer,ተርሞመተር,(n) noun,noun,none
they,(f prn) ንሳተን,(uncategorized) Uncategorized,uncategorized,none
they,(m prn) ንሳቶም,(uncategorized) Uncategorized,uncategorized,none
thick,ድልዱል,(a) adjective,adjective,none
thieving,ሰራቒ,(a) adjective,adjective,none
thigh,ሰለፍ,(n) noun,noun,none
thin,"ረቂቕ, ቀጢን",(a) adjective,adjective,none
thing,ኣቕሓ,(n) noun,noun,none
think,ሓሰበ,(v) verb,verb,none
think up,ገመተ,(v) verb,verb,none
third,ሳልሳይ,(a) adjective,adjective,none
third,ሲሶ,(n) noun,noun,none
third grade,ሳልሳይ ክፍሊ,(n) noun,noun,none
thirst,ጽምኢ,(n) noun,noun,none
thirsty,ጽሙእ,(a) adjective,adjective,none
thirteen,ዓሰርተ ሰለስተ,(an) adjective noun,adjective,noun-derived
thirty,ሰላሳ,(a) adjective,adjective,none
thorn,እሾኽ,(n) noun,noun,none
thorny,ኣሻኹ,(a) adjective,adjective,none
thought,ሓሳብ,(n) noun,noun,none
thousand,(na) ሽሕ,(uncategorized) Uncategorized,uncategorized,none
thread,ፈትሊ,(n) noun,noun,none
threaten,ኣፈራርሀ,(v) verb,verb,none
three,ሰለስተ,(a) adjective,adjective,none
"thrilled, be",ኣንቀጥቀጠ,(v) verb,verb,none
throat,ጎሮሮ,(n) noun,noun,none
throw,ሰንደወ,(v) verb,verb,none
throw back,ነጸገ,(v) verb,verb,none
thunder,ነጎዳ,(n) noun,noun,none
thunder,ነጎደ,(v) verb,verb,none
Thursday,ሓሙስ,(n) noun,noun,none
ticket,ቲከት,(n) noun,noun,none
tidiness,ጽሬት,(n) noun,noun,none
tie,ጥማር,(n) noun,noun,none
tie,ኣሰረ,(v) verb,verb,none
tiger,ነብሪ,(n) noun,noun,none
tight,ጽቢብ,(a) adjective,adjective,none
tighten,ጸቐጠ,(v) verb,verb,none
tile,መኽደኒ ናሕሲ,(n) noun,noun,none
timber,ኦም,(n) noun,noun,none
time,"ግዜ, ሰዓት",(n) noun,noun,none
time allowed,ድንጓየ,(n) noun,noun,none
tiny,"ንእሽቶ, ንእሽተይ",(a) adjective,adjective,none
tip,ጫፍ,(n) noun,noun,none
tire,ጎማ,(n) noun,noun,none
tire,ኣድከመ,(v) verb,verb,none
tiredness,ድኹም,(a) adjective,adjective,none
tiredness,ድኻም,(n) noun,noun,none
title,ኣርእስቲ,(n) noun,noun,none
to try hard,ጸዓረ,(v) verb,verb,none
tobacco,ትንባኾ,(n) noun,noun,none
today,ሎሚ,(a) adjective,adjective,none
toe,ኣጻዕቲ እግሪ,(n) noun,noun,none
toe nail,ጽፍሪ እግሪ,(n) noun,noun,none
toes,አጻብዕቲ እግሪ,(n) noun,noun,none
toilet,መሕጸቢ ቤት,(n) noun,noun,none
tolerance,ጽሮት,(n) noun,noun,none
tomato,ኮሚደረ,(n) noun,noun,none
tomb,መቓብር,(n) noun,noun,none
tomorrow,ጽባሕ,(adv) adverb,adverb,none
ton,ቶን,(n) noun,noun,none
tone,ኣገባብ ኣዘራርባ,(n) noun,noun,none
tongue,መልሓስ,(n) noun,noun,none
tonsil,ዓንቐር,(n) noun,noun,none
too,ከምኡውን,(adv) adverb,adverb,none
too many,ብዘይመጠን,(adv) adverb,adverb,none
too much,ብዘይመጠን,(adv) adverb,adverb,none
tool,መተዓየዩ,(n) noun,noun,none
tooth paste,መሕጸብ ስኒ,(n) noun,noun,none
top,ጫፍ,(n) noun,noun,none
topic,ኣርእስቲ,(n) noun,noun,none
torment oneself,ተጨነቐ,(v) verb,verb,none
tortoise,ጎብየ,(n) noun,noun,none
total,ጠቕላላ,(n) noun,noun,none
touch,ትንካፈ,(n) noun,noun,none
touch,ተንከፈ,(v) verb,verb,none
"touched, be",ደንገጸ,(v) verb,verb,none
towel,ሽጎማኖ,(n) noun,noun,none
town,ከተማ,(n) noun,noun,none
town hall,መዘጋጃ ቤተ,(n) noun,noun,none
toy,መጻወቲ,(n) noun,noun,none
trace,ኣሰር,(n) noun,noun,none
tractor,ሓራሲት መኪና,(n) noun,noun,none
trade,ንግዲ,(n) noun,noun,none
trader,ነጋዳይ,(n) noun,noun,none
tradition,ልምዲ,(n) noun,noun,none
traditional,ልምዳዊ,(a) adjective,adjective,none
train,ባቡር,(n) noun,noun,none
train,ተዓለመ,(v) verb,verb,none
transcript,ቅዳሕ,(n) noun,noun,none
transfer,ቦታ ቀየረ,(v) verb,verb,none
transform,ቀየረ,(v) verb,verb,none
transformation,ምልዋጥ,(n) noun,noun,none
translate,ተርጎመ,(v) verb,verb,none
translation,ትርጉም,(n) noun,noun,none
transmit,ኣመሓላለፈ,(v) verb,verb,none
trap,መጻወድያ,(n) noun,noun,none
travel,ገሸ,(v) verb,verb,none
traveller,ገያሻይ,(n) noun,noun,none
tray,ጓንተራ,(n) noun,noun,none
treasurer,ተሓዝ ገንዘብ,(n) noun,noun,none
treat,ኣኣንገደ,(v) verb,verb,none
treatment,ሕክምና,(n) noun,noun,none
treaty,ውዕል,(n) noun,noun,none
tree,ገረብ,(n) noun,noun,none
tremble,ኣንቀጥቀጠ,(v) verb,verb,none
tremendous,ተኣምራታዊ,(a) adjective,adjective,none
trench,ጉድጓድ,(n) noun,noun,none
triangle,ስሉስ ኩርናዕ,(n) noun,noun,none
trip,ጉዕዞ,(n) noun,noun,none
tripe,ጨጎራ,(n) noun,noun,none
triple,ሰለስተ ዕጽፊ,(a) adjective,adjective,none
troop,ዓሳክር,(n) noun,noun,none
trouble,ሽግር,(n) noun,noun,none
trousers,ስረ,(n) noun,noun,none
truck,መኪና ጽዕነት,(n) noun,noun,none
true,ሓቂ,(a) adjective,adjective,none
trumpet,ጥሩምባ,(n) noun,noun,none
trunk,ሳንዱቕ,(n) noun,noun,none
trust,እምነት,(n) noun,noun,none
trust,ኣመነ,(v) verb,verb,none
truth,ሓቂ,(n) noun,noun,none
try,(nv) ፈተነ,(uncategorized) Uncategorized,uncategorized,none
Tuesday,ሰሉስ,(n) noun,noun,none
tuna,ቶኖ ዓሳ,(n) noun,noun,none
tune,ቃነየ,(v) verb,verb,none
tunnel,ገለርያ,(n) noun,noun,none
turkey,ታኪን,(n) noun,noun,none
turn,ተመልሰ,(v) verb,verb,none
turning,ኣንጎሎ,(n) noun,noun,none
turtle,ጎብየ,(n) noun,noun,none
twelfth grade,ዓሰርተ ክልተ,(n) noun,noun,none
twelve,ዓሰርተ ክልተ,(an) adjective noun,adjective,noun-derived
twenty,ዕስራ,(an) adjective noun,adjective,noun-derived
twilight,ጽልግልግ,(n) noun,noun,none
two,ክልተ,(an) adjective noun,adjective,noun-derived
ugly,ግናይ,(a) adjective,adjective,none
umbrella,ጽላል,(n) noun,noun,none
umpire,መንጎኛ,(n) noun,noun,none
uncle (father's side),ሓወቦ,(n) noun,noun,none
uncle (mother's side),ኣኮ,(n) noun,noun,none
uncommon,ፍሉይ,(a) adjective,adjective,none
underneath,ኣብ ትሕቲ,(adv) adverb,adverb,none
underpants,ሙታንታ,(n) noun,noun,none
understand,ተረድአ,(v) verb,verb,none
understood,ፍሉጥ,(a) adjective,adjective,none
undiluted,ጽሩይ,(a) adjective,adjective,none
undo,ፈተሐ,(v) verb,verb,none
uneven,ጎባጥ,(a) adjective,adjective,none
unexpected,ዘይተጸበኻዮ,(a) adjective,adjective,none
unfit,ዘይብቑዕ,(a) adjective,adjective,none
unfortunate,ቅርሱስ,(a) adjective,adjective,none
ungrateful,ዘየመስግን,(a) adjective,adjective,none
unhappy,ዘይሕጉስ,(a) adjective,adjective,none
union,ሕብረት,(n) noun,noun,none
unite,ኣከበ,(v) verb,verb,none
united,ሕቡራት,(n) noun,noun,none
unity,ሓድነት,(n) noun,noun,none
university,"ዩኒቨርስቲ, ላዕላይ",(n) noun,noun,none
unknown,ዘይፍሉጥ,(a) adjective,adjective,none
unload,ኣራገፈ,(v) verb,verb,none
unlucky,ቅርሱስ,(a) adjective,adjective,none
unmarried,ዘይምርዕዉ,(an) adjective noun,adjective,noun-derived
unpleasant,ዘየሐጉስ,(a) adjective,adjective,none
unroll,ዘርገሐ,(v) verb,verb,none
unstick,ነቐለ,(v) verb,verb,none
untie,ፈተሐ,(v) verb,verb,none
until,(adv prep) ክሳብ,(uncategorized) Uncategorized,uncategorized,none
unwind,ዘርገሐ,(v) verb,verb,none
unworthy,ዘይብቑዕ,(a) adjective,adjective,none
up to,(adv prep) ክሳብ,(uncategorized) Uncategorized,uncategorized,none
"up, get",ተንሰአ,(v) verb,verb,none
"up, give",ብፍቓዱ ገደፈ,(v) verb,verb,none
uphold,ዓቀበ,(v) verb,verb,none
upper arms muscles,ቅልጽም,(n) noun,noun,none
upset,ተጨነቐ,(v) verb,verb,none
urban,ከተማዊ,(a) adjective,adjective,none
urgent,ህጹጽ,(a) adjective,adjective,none
urine,"ሽንቲ, ችንቲ",(n) noun,noun,none
use,ተጠቐመ,(v) verb,verb,none
useful,ጠቓሚ,(a) adjective,adjective,none
uterus,ማሕጸን,(n) noun,noun,none
vaccine,ክታቤት,(n) noun,noun,none
value,ዋጋ,(n) noun,noun,none
vanish,ጠፍአ,(v) verb,verb,none
varnish,ቀብአ,(v) verb,verb,none
vegetable,ኣትክልታዊ,(n) noun,noun,none
vegetable stew,"ኣልጫ, ዝግኒ",(n) noun,noun,none
vein,ሰራዉር,(n) noun,noun,none
verdict,ፍርዲ,(n) noun,noun,none
verify,ኣጸረየ,(v) verb,verb,none
very much,ብጣዕሚ,(adv) adverb,adverb,none
veteran,ተጋዳላይ,(n) noun,noun,none
victim,ግዳይ,(n) noun,noun,none
victor,ዕዉት,(a) adjective,adjective,none
victory,ዓወት,(n) noun,noun,none
view,ርእየት,(n) noun,noun,none
village,ሃገረሰብ,(n) noun,noun,none
vinegar,ኣቸቶ,(n) noun,noun,none
violet,ሊላ,(a) adjective,adjective,none
virgin,ድንግል,(an) adjective noun,adjective,noun-derived
Virgin Mary,ድንግል ማርያም,(n) noun,noun,none
visible,ዝረአ,(a) adjective,adjective,none
visit,ምብጻቕ,(n) noun,noun,none
visit,በጽሐ,(v) verb,verb,none
visitor,በጻሒ,(n) noun,noun,none
voice,ድምጺ,(n) noun,noun,none
vote,ኣድመጸ,(v) verb,verb,none
vow,መሓለ,(v) verb,verb,none
vulture,ኣሞራ,(n) noun,noun,none
wage,መሃያ,(n) noun,noun,none
wagon,ባጎኒ,(n) noun,noun,none
wait,ተጸበየ,(v) verb,verb,none
waiter,ኣሰላፊ,(nm) noun masculine,noun,masculine
waiting room,ክፍሊ መጸበዩ,(n) noun,noun,none
waitress,ኣሰላፊት,(nf) noun feminine,noun,feminine
wake up,ተበራበረ,(v) verb,verb,none
walk,ዙረት,(n) noun,noun,none
walk,ተዛወረ,(v) verb,verb,none
walker,ተዛዋሪ,(n) noun,noun,none
wall,መንደቕ,(n) noun,noun,none
wanderer,ኮብላሊ,(n) noun,noun,none
wandering,ኩብለላ,(n) noun,noun,none
want,ደለየ,(v) verb,verb,none
war,ውግእ,(n) noun,noun,none
warm,ውዕውዕ,(a) adjective,adjective,none
warm,ኣውዓየ,(v) verb,verb,none
warmth,ዋዒ,(n) noun,noun,none
warn,ኣጠንቀቐ,(v) verb,verb,none
warning,መጠንቀቕታ,(n) noun,noun,none
was aware of,ፍሉጥ,(a) adjective,adjective,none
wash oneself,ተሓጸበ,(v) verb,verb,none
wasp,ዕኮት,(n) noun,noun,none
waste,ኣጥፈአ,(v) verb,verb,none
wastebasket,ዘንቢል,(n) noun,noun,none
watch,ሰዓት ኢድ,(n) noun,noun,none
watch,ጠመተ,(v) verb,verb,none
water,ማይ,(n) noun,noun,none
water melon,ብርጭቕ,(n) noun,noun,none
water spray,ንጽጎ ማይ,(n) noun,noun,none
water well,ዒላ,(n) noun,noun,none
wave,ማዕበል,(n) noun,noun,none
wax,ወልወለ,(v) verb,verb,none
way down,ቁልቁለት,(n) noun,noun,none
we,ንሕና,(prn) pronoun,pronoun,none
weak,ድኹም,(a) adjective,adjective,none
weaken,ኣድከመ,(v) verb,verb,none
weakness,ድኻም,(n) noun,noun,none
wealth,ሃብቲ,(n) noun,noun,none
wealthy,ሃብታም,(a) adjective,adjective,none
wear,ለበሰ,(v) verb,verb,none
weather,ንፋስ,(n) noun,noun,none
weave,ኣለመ,(v) verb,verb,none
wedding,መርዓ,(n) noun,noun,none
wedding ring,ካቲም,(n) noun,noun,none
Wednesday,ሮቡዕ,(n) noun,noun,none
weed,ሳዕሪ,(n) noun,noun,none
week,ሰሙን,(n) noun,noun,none
weekly,ሰሙናዊ,(a) adjective,adjective,none
weight,ሚዛን,(n) noun,noun,none
welcome,ደሓን መጸ,(a) adjective,adjective,none
"welcome, be",ደሓን ምጽ,(n) noun,noun,none
west,ምዕራብ,(an) adjective noun,adjective,noun-derived
western,ምዕራባዊ,(a) adjective,adjective,none
wet,ኣጥለለ,(v) verb,verb,none
whale,ዓሳ ኣንበሪ,(n) noun,noun,none
what,እንታይ,(prn) pronoun,pronoun,none
wheat,ስርናይ,(n) noun,noun,none
wheel,መንኮርኮር,(n) noun,noun,none
when,መኣስ,(adv) adverb,adverb,none
whip,ኩርማጅጅ,(n) noun,noun,none
whisper,ሕሹኽሹኽ,(n) noun,noun,none
whisper,ሕሹኽሹኽ በለ,(v) verb,verb,none
whistle,ፊጽፊጽ,(n) noun,noun,none
whistle,ፋጸየ,(v) verb,verb,none
white,ጻዕዳ,(a) adjective,adjective,none
why,ስለምንታይ,(adv) adverb,adverb,none
wicked,ሕሱም,(a) adjective,adjective,none
wide,ገፊሕ,(a) adjective,adjective,none
widely,ብብዚሒ,(adv) adverb,adverb,none
widen,ኣግፈሐ,(v) verb,verb,none
widow,"ሰብኣያ ዝሞታ, ሰበይቱ",(an) adjective noun,adjective,noun-derived
widowed,"ሰበይቱ ዝመተቶ,",(an) adjective noun,adjective,noun-derived
widower,"ሰበይቱ ዝመተቶ,",(an) adjective noun,adjective,noun-derived
width,ስፍሓት,(n) noun,noun,none
wife,ሰበይቲ,(n) noun,noun,none
wild beasts,ኣራዊት,(n) noun,noun,none
wild boar,መፍለስ,(n) noun,noun,none
will,ድሌት,(n) noun,noun,none
win,ዓወት,(n) noun,noun,none
win,ተዓወተ,(v) verb,verb,none
wind,ንፋስ,(n) noun,noun,none
window,መስኮት,(n) noun,noun,none
wine,ነቢት,(n) noun,noun,none
wine harvest,እርያ ወይኒ,(n) noun,noun,none
wing,መንፈርፈር,(n) noun,noun,none
winner,ዕዉት,(a) adjective,adjective,none
winter,ክረምቲ,(n) noun,noun,none
wintery,ናይ ክረምቲ,(a) adjective,adjective,none
wisdom,ልቦና,(n) noun,noun,none
wise,ለባም,(a) adjective,adjective,none
wish,ትምኒት,(n) noun,noun,none
wish for,ተተምነየ,(v) verb,verb,none
withdraw,ኣንሰሓበ,(v) verb,verb,none
witness,ምስክር,(n) noun,noun,none
wolf,ተኹላ,(n) noun,noun,none
woman,ሰበይቲ,(n) noun,noun,none
wonder,ተደነቐ,(v) verb,verb,none
wonderful,ዘደንቕ,(a) adjective,adjective,none
wood,ዕንጸይቲ,(n) noun,noun,none
woodcutter,ቆራጽ ዕንጸይቲ,(n) noun,noun,none
wool,ጡጥ,(n) noun,noun,none
word,ቃል,(n) noun,noun,none
work,ዕዮ,(n) noun,noun,none
workable,ስራሕ,(a) adjective,adjective,none
worker,ሸቃላይ,(n) noun,noun,none
workshop,ክፍሊ ስራሕ,(n) noun,noun,none
worm,ሓሰኻ,(n) noun,noun,none
worn,ልባስ,(a) adjective,adjective,none
worn out,ብላይ,(a) adjective,adjective,none
worried,ዝተሻቐለ,(a) adjective,adjective,none
worry,ሸቐልቀል,(n) noun,noun,none
worry,ተጨነቐ,(v) verb,verb,none
worse,ዝኸፍአ,(a) adjective,adjective,none
worship,እምነት,(n) noun,noun,none
worth,ዋጋ,(n) noun,noun,none
"worth, be",ክብሪ ዘለዎ,(v) verb,verb,none
wound,"ቁስሊ, መቑሰልቲ",(n) noun,noun,none
wound,"ኣቑሰለ, ጎድአ",(v) verb,verb,none
wreck,ኣዕነወ,(v) verb,verb,none
wrinkle,ዕጣሮ,(n) noun,noun,none
wrinkled,ዕጣር,(an) adjective noun,adjective,noun-derived
write,ጸሓፈ,(v) verb,verb,none
writer,ደራሲ,(n) noun,noun,none
writing,ጽሕፈት,(n) noun,noun,none
yard,ቀጽሪ,(n) noun,noun,none
yarn,ፈትሊ,(n) noun,noun,none
year,ዓመት,(n) noun,noun,none
yearly,ዓመታዊ,(a) adjective,adjective,none
yellow,ቢጫ,(a) adjective,adjective,none
yes,እወ,(a) adjective,adjective,none
yesterday,ትማሊ,(adv) adverb,adverb,none
yet,ጌና,(adv) adverb,adverb,none
yogurt,ሩግኦ,(n) noun,noun,none
young,መንእሰይ,(a) adjective,adjective,none
youth,ንእስነት,(n) noun,noun,none
zeal,ተመስጦ,(n) noun,noun,none
zinc,ዚንጎ,(n) noun,noun,none
thin/thick home made cornbread,ሀንዛ,(n) noun,noun,none
"alive, living",ሂወታዊ,(a) adjective,adjective,none
"exist, live",ሃለወ,(v) verb,verb,none
disappear,ሃለዋት ኣጥፈአ,(v) verb,verb,none
search,ሃለው በለ,(v) verb,verb,none
"flame, fire",ሃልሃልታ,(n) noun,noun,none
"knock, beat",ሃረመ,(v) verb,verb,none
shit,ሃሪ,(n) noun,noun,none
"dark, dim, faded",ሃሳስ,(a) adjective,adjective,none
"crafty, cunning,malicious",ሃሳይ,(a) adjective,adjective,none
"give, supply, provide,offer, reward",ሃበ,(v) verb,verb,none
"resources, wealth",ሃብቲ,(n) noun,noun,none
"rich, wealhy",ሃብታም,(a) adjective,adjective,none
"talkative, gossiping",ሃታፍ,(a) adjective,adjective,none
"construct, build",ሃነጸ,(v) verb,verb,none
"passive, inert",ሃናን,(a) adjective,adjective,none
"instructive, educational",ሃናጺ,(a) adjective,adjective,none
anxiety,ሃንቀውታ,(n) noun,noun,none
"surprising, amazing",ሃንደበታዊ,(a) adjective,adjective,none
"surprise, sudden",ሃንደበት,(n) noun,noun,none
imprudent,ሃንዳፍ,(a) adjective,adjective,none
"lazy, sluggish",ሃካይ,(a) adjective,adjective,none
"bother, disturb",ሃወኸ,(v) verb,verb,none
pious,ሃይማኖተኛ,(a) adjective,adjective,none
"flee, avoid, shun",ሃደመ,(v) verb,verb,none
"hunt, dispel, chase",ሃደነ,(v) verb,verb,none
threaten,ሃደደ,(v) verb,verb,none
"calm, pacify, soothe",ሃድአ,(v) verb,verb,none
"countryside, village,rural area",ሃገረሰብ,(n) noun,noun,none
"national, countrymen",ሃገራዊ,(a) adjective,adjective,none
emperor,ሃጸይ,(n) noun,noun,none
"current, present",ህሉው,(a) adjective,adjective,none
"existence, presence",ህላዌ,(n) noun,noun,none
accept,ህራይ በላ,(v) verb,verb,none
"gust, burst",ህቦብላ,(n) noun,noun,none
"building, construction",ህንጻ,(n) noun,noun,none
lazy,ህኩይ,(a) adjective,adjective,none
imprudent,ህዉኽ,(a) adjective,adjective,none
"animate, liven",ህይወት ሃበ,(v) verb,verb,none
"calm, quiet",ህዱእ,(a) adjective,adjective,none
escape,ህድማ,(v) verb,verb,none
"calm, silence",ህድኣት,(n) noun,noun,none
attack,ህጁም,(n) noun,noun,none
varnish,ለመጸ,(v) verb,verb,none
"lemon, lime",ለሚን,(n) noun,noun,none
painter,ለማጻይ,(n) noun,noun,none
"release, free",ለቐቐ,(v) verb,verb,none
"wear, dress",ለበሰ,(v) verb,verb,none
send someone to do something,ለኣኸ,(v) verb,verb,none
"bend down, stoop",ለወየ,(v) verb,verb,none
"change, switch",ለወጠ,(v) verb,verb,none
kind,ለዋህ,(a) adjective,adjective,none
exchange,ለዋወጠ,(v) verb,verb,none
change,ለውጢ,(n) noun,noun,none
raise,ለዓለ,(v) verb,verb,none
soften,ለዘበ,(v) verb,verb,none
night-time,ለይታዊ,(a) adjective,adjective,none
grant,ለገሰ,(v) verb,verb,none
"stick, glue",ለጠፈ,(v) verb,verb,none
skilful person,ሊቕ,(n) noun,noun,none
litre,ሊተር,(n) noun,noun,none
cream,ላህመት,(n) noun,noun,none
"college, university",ላዕላይ-ደረጃ,(n) noun,noun,none
acquaintance,ሌላ,(n) noun,noun,none
"common, normal,ordinary",ልሙድ,(a) adjective,adjective,none
"tradition, custom",ልምዲ,(n) noun,noun,none
"warm, tepid",ልቡጥ,(a) adjective,adjective,none
"mission, task",ልኡኽ,(n) noun,noun,none
accurate,ልክዓዊ,(a) adjective,adjective,none
"exact, accuracy",ልክዕ,(a) adjective,adjective,none
"perfection, accuracy",ልክዕነት,(n) noun,noun,none
noble,ልዑል,(a) adjective,adjective,none
"birth, birthday,",ልደት,(a) adjective,adjective,none
brain,ሐንጎል,(n) noun,noun,none
advocate,ሐገዝ,(n) noun,noun,none
advocator,ሐጋዚት,(nf) noun feminine,noun,feminine
cough,ሑአታ,(n) noun,noun,none
"pass, get around, cross",ሓለፈ,(v) verb,verb,none
guard,ሓላዊ,(n) noun,noun,none
"superintendent,caretaker",ሓላው ርሻን,(n) noun,noun,none
"spinach, green collards",ሓምሊ,(n) noun,noun,none
crush,ሓምሸሸ,(v) verb,verb,none
plough,ሓረሰ,(v) verb,verb,none
give birth,ሓረሰት,(v) verb,verb,none
"pick, choose",ሓረየ,(v) verb,verb,none
"cut, slaughter",ሓረደ,(v) verb,verb,none
angry,ሓራቕ,(a) adjective,adjective,none
"liberty, freedom",ሓርነት,(n) noun,noun,none
"hay, straw",ሓሰር,(n) noun,noun,none
"think, consider",ሓሰበ,(v) verb,verb,none
"worm, insect",ሓሰኻ,(n) noun,noun,none
lie,ሓሰወ,(v) verb,verb,none
"idea, thought",ሓሳብ,(n) noun,noun,none
express,ሓሳብ ገለጸ,(v) verb,verb,none
"true, (n) truth, accuracy",ሓቂ,(a) adjective,adjective,none
"melt, dissolve",ሓቐቐ,(v) verb,verb,none
accurate,ሓቓዊ,(a) adjective,adjective,none
shake,ሓቖነ,(v) verb,verb,none
"suggest, direct",ሓበረ,(v) verb,verb,none
"information, signal",ሓበሬታ,(n) noun,noun,none
guide,ሓባሪ,(n) noun,noun,none
"hide, conceal",ሓብአ,(v) verb,verb,none
"bravery, courage",ሓቦ,(n) noun,noun,none
"demand, apply, ask",ሓተተ,(v) verb,verb,none
aunt (mother's side),ሓትነ,(n) noun,noun,none
aunt (mother's side),ሓትኖ,(n) noun,noun,none
"treat, look after",ሓከመ,(v) verb,verb,none
climb,ሓኾረ,(v) verb,verb,none
"monument, statue",ሓወልቲ,(n) noun,noun,none
mix,ሓወሰ,(v) verb,verb,none
cure,ሓወየ,(v) verb,verb,none
"hold, handle, keep,occupy",ሓዘ,(v) verb,verb,none
mourning,ሓዘን,(n) noun,noun,none
"strong, powerful",ሓያል,(a) adjective,adjective,none
"energy, power, force",ሓይሊ,(n) noun,noun,none
"danger, accident",ሓደጋ,(n) noun,noun,none
accidental,ሓደጋዊ,(a) adjective,adjective,none
"new, fresh",ሓዲሽ,(a) adjective,adjective,none
awakening,ሓዲሽ ምጅማር,(n) noun,noun,none
"assist, help",ሓገዘ,(v) verb,verb,none
"assistance, help",ሓገዝ,(n) noun,noun,none
advocator,ሓገዝቲ,(npl) noun plural,noun,plural
advocator,ሓጋዚ,(nm) noun masculine,noun,masculine
"rake, search",ሓግሓገ,(v) verb,verb,none
"satisfaction,contentment",ሓጎስ,(n) noun,noun,none
sin,ሓጥአ,(v) verb,verb,none
"tease, mock",ሓጨጨ,(v) verb,verb,none
wash,ሓጸበ,(v) verb,verb,none
note,ሓጺር ጽሑፍ,(v) verb,verb,none
harvest,ሓፈሰ,(v) verb,verb,none
"timid, shy",ሓፋር,(a) adjective,adjective,none
"sick, ill",ሕሙም,(n) noun,noun,none
grey,ሕሙኽሽታይ,(a) adjective,adjective,none
"disease, illness",ሕማም,(n) noun,noun,none
"misfortune, bad luck",ሕማቕ ዕድል,(n) noun,noun,none
"navel, center",ሕምብርቲ,(n) noun,noun,none
ferocity,ሕርቃን,(n) noun,noun,none
anger,ሕርቓን,(n) noun,noun,none
"cruel, mean",ሕሱም,(a) adjective,adjective,none
"whisper, murmur",ሕሹኽሹኽ,(n) noun,noun,none
back,ሕቆ,(n) noun,noun,none
colour,ሕብሪ ለኸየ,(v) verb,verb,none
"appeal, question",ሕቶ,(n) noun,noun,none
"revenge, vengeance",ሕነ,(n) noun,noun,none
to avenge,ሕነ ፈደየ,(v) verb,verb,none
thick round leavened,ሕንባሻ,(n) noun,noun,none
locust,ሕንጉጉ,(n) noun,noun,none
stubborn,ሕንግድ,(a) adjective,adjective,none
small,ሕንጢል ሕንጥሊቶ,(n) noun,noun,none
parrot,ሕንጻይ,(n) noun,noun,none
"treatment, medicine",ሕክምና,(n) noun,noun,none
"benevolent, kindly,",ሕያዋይ,(a) adjective,adjective,none
"benevolence,",ሕያውነት,(n) noun,noun,none
"entrust, confide",ሕድሪ ሃበ,(v) verb,verb,none
legitimate,ሕጋዊ,(a) adjective,adjective,none
"engagement, betrothal",ሕጸ,(v) verb,verb,none
"child, infant, baby",ሕጻን,(n) noun,noun,none
"infancy, childhood",ሕጻንነት,(v) verb,verb,none
"shame, disgrace",ሕፍረት,(v) verb,verb,none
"choir, chorus",መሃምራን,(n) noun,noun,none
"educate, teach",መሃረ,(v) verb,verb,none
